metodo,nome_sequencia,fator_ruido,quantidade_observacoes,n,media_ns,desvio_padrao_ns,minimo_ns,q1_ns,mediana_ns,q3_ns,p95_ns,maximo_ns,media_ms,mediana_ms,q1_ms,q3_ms,p95_ms
forward_com_abstencao,circuito_antihorario,2.0,6,1000,6196081.303,214993.6895219284,5625145,6056845.75,6183288.0,6312370.25,6551225.85,7713083,6.196081303000001,6.183288,6.05684575,6.31237025,6.55122585
forward_com_abstencao,circuito_horario,0.5,6,1000,6471338.784,663387.6845337321,5781164,6160786.75,6343013.5,6556870.5,7279297.299999998,13496318,6.471338784,6.3430135,6.16078675,6.5568705,7.279297299999998
forward_com_abstencao,circuito_horario,0.75,6,1000,6374404.416,364341.06827658054,5877337,6206626.25,6344590.5,6500297.75,6753164.6,15178061,6.374404416,6.3445905,6.20662625,6.50029775,6.7531646
forward_com_abstencao,circuito_horario,1.0,6,1000,6327944.283,220184.18803438052,5848723,6173586.5,6306298.0,6450104.0,6689739.3,8300894,6.327944283,6.306298,6.1735865,6.450104,6.689739299999999
forward_com_abstencao,circuito_horario,1.25,6,1000,6343974.888,201061.18926728496,5866809,6201565.75,6330942.5,6466367.5,6670630.85,7352869,6.343974888,6.3309425,6.20156575,6.4663675,6.670630849999999
forward_com_abstencao,circuito_horario,1.5,6,1000,6295953.109,205556.58880325843,5815298,6165354.0,6284749.5,6408246.5,6627432.25,8639987,6.295953109,6.2847495,6.165354,6.4082465,6.62743225
forward_com_abstencao,circuito_horario,2.0,6,1000,6342798.098,345227.5987296453,5820192,6175204.0,6303483.0,6442228.0,6719426.15,12188221,6.342798098,6.303483,6.175204,6.442228,6.71942615
forward_com_abstencao,inspecao_com_saltos,0.5,6,1000,6164586.819,490159.67344609764,5566118,5928094.75,6075656.0,6259591.75,6816627.65,12874295,6.164586819,6.075656,5.92809475,6.25959175,6.81662765
forward_com_abstencao,inspecao_com_saltos,0.75,6,1000,6007987.437,330883.2083783808,5511234,5827168.5,5960688.5,6134487.25,6433815.7,12123869,6.007987437,5.9606885,5.8271685,6.13448725,6.4338157
forward_com_abstencao,inspecao_com_saltos,1.0,6,1000,5949606.029,212111.07550396863,5474731,5800659.5,5914903.0,6065515.5,6326554.1,7219717,5.949606029,5.914903,5.8006595,6.0655155,6.3265541
forward_com_abstencao,inspecao_com_saltos,1.25,6,1000,6110268.966,223164.6904689657,5582481,5949618.0,6094218.0,6245329.75,6507555.2,6955510,6.110268966,6.094218,5.949618,6.24532975,6.5075552000000005
forward_com_abstencao,inspecao_com_saltos,1.5,6,1000,6116941.716,239125.57985926623,5561534,5947473.75,6112762.0,6263741.0,6516136.0,7750513,6.116941716,6.112762,5.94747375,6.263741,6.516136
forward_com_abstencao,inspecao_com_saltos,2.0,6,1000,6093984.4,222715.46887289456,5624744,5938161.0,6062351.5,6227909.5,6473658.55,7429842,6.0939844,6.0623515,5.938161,6.2279095,6.47365855
forward_com_abstencao,troca_central_longa,0.5,6,1000,6135890.754,242383.77476252735,5624916,5970498.75,6115788.0,6256813.75,6529273.8,8240773,6.135890754,6.115788,5.97049875,6.25681375,6.5292737999999995
forward_com_abstencao,troca_central_longa,0.75,6,1000,6196334.992,497232.16425184364,5613738,5980743.25,6135876.0,6307657.5,6675607.05,14688247,6.196334992,6.135876,5.98074325,6.3076575,6.67560705
forward_com_abstencao,troca_central_longa,1.0,6,1000,6162014.723,419217.3788644074,5588213,5940020.25,6111993.0,6288452.25,6606160.55,10616001,6.162014723,6.111993,5.94002025,6.28845225,6.60616055
forward_com_abstencao,troca_central_longa,1.25,6,1000,6104754.274,379570.1062917117,5540794,5900001.25,6048439.5,6222371.75,6559437.699999999,9870513,6.104754274,6.0484395,5.90000125,6.22237175,6.559437699999999
forward_com_abstencao,troca_central_longa,1.5,6,1000,6046163.113,405523.0878580568,5510436,5825683.0,5985914.5,6166880.0,6489809.75,11142480,6.0461631129999995,5.9859145,5.825683,6.16688,6.48980975
forward_com_abstencao,troca_central_longa,2.0,6,1000,5887392.429,185224.59917874294,5521137,5769479.0,5863918.0,5985575.75,6174414.649999999,8501230,5.887392428999999,5.863918,5.769479,5.98557575,6.174414649999999
viterbi,circuito_antihorario,0.5,6,1000,4939746.679,182211.91283652492,4486860,4804837.75,4928788.5,5058587.75,5260481.85,5575251,4.939746679,4.9287885,4.80483775,5.05858775,5.26048185
viterbi,circuito_antihorario,0.75,6,1000,4962610.724,191570.3934990505,4462385,4826089.0,4949008.0,5085601.75,5301716.85,5688827,4.962610724,4.949008,4.826089,5.08560175,5.30171685
viterbi,circuito_antihorario,1.0,6,1000,4975685.779,230832.2472000645,4517375,4829659.0,4958258.0,5095516.25,5326350.45,8489945,4.975685779,4.958258,4.829659,5.09551625,5.3263504500000005
viterbi,circuito_antihorario,1.25,6,1000,4887901.379,283640.36808061757,4425482,4750846.5,4865657.5,4990595.5,5215975.7,11513261,4.887901379,4.8656575,4.7508465,4.9905955,5.2159757
viterbi,circuito_antihorario,1.5,6,1000,4844214.484,203972.34866290278,4410791,4710857.75,4822969.0,4954915.75,5187757.95,6540405,4.844214484,4.822969,4.71085775,4.95491575,5.18775795
viterbi,circuito_antihorario,2.0,6,1000,4835378.905,288662.42843618296,4273010,4704447.5,4814998.5,4946206.75,5136686.5,11946906,4.835378905000001,4.8149985,4.7044475,4.94620675,5.1366865
viterbi,circuito_horario,0.5,6,1000,5060013.041,662298.197914007,4418111,4773850.25,4944845.5,5127017.0,5682039.7,12117843,5.060013041,4.9448455,4.77385025,5.127017,5.6820397
viterbi,circuito_horario,0.75,6,1000,4975076.234,385520.39034304215,4448400,4818669.75,4946220.0,5091164.25,5325375.7,13993072,4.975076234,4.94622,4.81866975,5.09116425,5.3253757
